8.319691754877567291e-03,-2.433137036859989166e-02,7.831638455390930176e-01,-1.089922152459621429e-02,-1.190751907415688038e-03,8.105773925781250000e-01,5.855289101600646973e-01,2.605950273573398590e-02,2.550165355205535889e-01,2.572953104972839355e-01,4.298599064350128174e-02,-9.793684631586074829e-02,-1.049043238162994385e-01,1.106020179577171803e-03,-2.839716076850891113e-01,-2.758800685405731201e-01,5.285688117146492004e-02,-2.408467791974544525e-02,2.105486243963241577e-01,1.332901651039719582e-03,-2.724200487136840820e-02,-6.641668826341629028e-02,1.813395321369171143e-02,4.924349784851074219e-01,-4.266497194766998291e-01,9.683123230934143066e-01,1.052912920713424683e-01,-3.234469145536422729e-02,-1.902579963207244873e-01,-1.231691837310791016e+00,-6.605233550071716309e-01,3.889367878437042236e-01,8.018472194671630859e-01,2.356464415788650513e-01,4.086786136031150818e-02,-1.721001714468002319e-01
7.686787750571966171e-03,-2.502115443348884583e-02,7.830258011817932129e-01,-9.702679701149463654e-03,-3.092203754931688309e-03,8.126648068428039551e-01,5.826424956321716309e-01,2.275546081364154816e-02,2.555344104766845703e-01,2.464929819107055664e-01,5.185938626527786255e-02,-1.022605523467063904e-01,-1.022928431630134583e-01,7.905226200819015503e-03,-2.846534252166748047e-01,-2.844768464565277100e-01,5.421691015362739563e-02,-2.448739670217037201e-02,2.121507525444030762e-01,-3.310677828267216682e-03,3.236374352127313614e-03,-2.603996172547340393e-02,-7.033367455005645752e-02,4.365926384925842285e-01,-4.309836328029632568e-01,1.061980366706848145e+00,9.112218022346496582e-02,-8.152025938034057617e-02,-1.867439001798629761e-01,-1.373602390289306641e+00,-6.689376235008239746e-01,4.718548655509948730e-01,9.317489266395568848e-01,2.819536328315734863e-01,-1.611215434968471527e-02,-1.519855558872222900e-01
7.090760394930839539e-03,-2.474143356084823608e-02,7.829663157463073730e-01,-8.955106139183044434e-03,-4.430091939866542816e-03,8.119999766349792480e-01,5.835719704627990723e-01,2.684795856475830078e-02,2.566653192043304443e-01,2.466315627098083496e-01,5.352377519011497498e-02,-1.056074127554893494e-01,-1.012790203094482422e-01,1.083997078239917755e-02,-2.832749783992767334e-01,-2.835692465305328369e-01,5.481217429041862488e-02,-2.537464722990989685e-02,2.122317254543304443e-01,-3.881194395944476128e-03,1.365197543054819107e-02,-1.772611588239669800e-02,-8.172583580017089844e-02,4.198929071426391602e-01,-4.283998012542724609e-01,1.079310178756713867e+00,8.660201728343963623e-02,-9.092684835195541382e-02,-1.847963780164718628e-01,-1.404378652572631836e+00,-6.662453413009643555e-01,4.925333559513092041e-01,9.601116776466369629e-01,2.928040623664855957e-01,-2.683098800480365753e-02,-1.442954689264297485e-01
6.696918047964572906e-03,-2.466498874127864838e-02,7.829650044441223145e-01,-8.760095573961734772e-03,-4.974221345037221909e-03,8.114024996757507324e-01,5.844010114669799805e-01,2.902042120695114136e-02,2.571711242198944092e-01,2.471365630626678467e-01,5.346747860312461853e-02,-1.067097112536430359e-01,-1.008251532912254333e-01,1.188808307051658630e-02,-2.824958860874176025e-01,-2.826047539710998535e-01,5.379099398851394653e-02,-2.446719259023666382e-02,2.124110162258148193e-01,-4.440713673830032349e-03,1.820982620120048523e-02,-1.419027429074048996e-02,-8.534559607505798340e-02,4.125771224498748779e-01,-4.262598156929016113e-01,1.085890412330627441e+00,8.324539661407470703e-02,-9.454698115587234497e-02,-1.837326735258102417e-01,-1.417815566062927246e+00,-6.636287569999694824e-01,5.008007884025573730e-01,9.725275039672851562e-01,2.988179624080657959e-01,-3.100997209548950195e-02,-1.405120193958282471e-01
6.449516396969556808e-03,-2.469125203788280487e-02,7.829672694206237793e-01,-8.642029948532581329e-03,-5.231286399066448212e-03,8.109486103057861328e-01,5.850301384925842285e-01,3.051978349685668945e-02,2.572539746761322021e-01,2.476591318845748901e-01,5.291107296943664551e-02,-1.073109209537506104e-01,-1.002061888575553894e-01,1.237965375185012817e-02,-2.820430397987365723e-01,-2.814493179321289062e-01,5.271890759468078613e-02,-2.367453463375568390e-02,2.118018269538879395e-01,-4.816985689103603363e-03,2.013649791479110718e-02,-1.290913950651884079e-02,-8.603286743164062500e-02,4.090351760387420654e-01,-4.247824847698211670e-01,1.088451027870178223e+00,7.999020069837570190e-02,-9.634828567504882812e-02,-1.838877350091934204e-01,-1.424272894859313965e+00,-6.616935133934020996e-01,5.052646994590759277e-01,9.798005819320678711e-01,3.020370602607727051e-01,-3.201971575617790222e-02,-1.376856118440628052e-01
6.203499622642993927e-03,-2.459564432501792908e-02,7.829766869544982910e-01,-8.613996207714080811e-03,-5.386607255786657333e-03,8.106203675270080566e-01,5.854839086532592773e-01,3.178785741329193115e-02,2.572767138481140137e-01,2.483535856008529663e-01,5.229214206337928772e-02,-1.078507304191589355e-01,-9.955589473247528076e-02,1.264935638755559921e-02,-2.817643880844116211e-01,-2.804271280765533447e-01,5.220581963658332825e-02,-2.310132980346679688e-02,2.118165045976638794e-01,-5.161072593182325363e-03,2.086849510669708252e-02,-1.264654565602540970e-02,-8.573847264051437378e-02,4.069214761257171631e-01,-4.228530824184417725e-01,1.089767813682556152e+00,7.627718895673751831e-02,-9.686098992824554443e-02,-1.838831156492233276e-01,-1.426769495010375977e+00,-6.603435873985290527e-01,5.069535374641418457e-01,9.833354353904724121e-01,3.058814704418182373e-01,-3.211770579218864441e-02,-1.351792216300964355e-01
6.105243694037199020e-03,-2.453034371137619019e-02,7.829925417900085449e-01,-8.630224503576755524e-03,-5.429830867797136307e-03,8.104693889617919922e-01,5.856922864913940430e-01,3.225722908973693848e-02,2.573171854019165039e-01,2.487380653619766235e-01,5.211185663938522339e-02,-1.079906523227691650e-01,-9.940783679485321045e-02,1.255454774945974350e-02,-2.816162705421447754e-01,-2.795206904411315918e-01,5.223998054862022400e-02,-2.290647663176059723e-02,2.118640094995498657e-01,-5.297112744301557541e-03,2.111520618200302124e-02,-1.224015466868877411e-02,-8.548372983932495117e-02,4.060437679290771484e-01,-4.217283725738525391e-01,1.090012311935424805e+00,7.337918877601623535e-02,-9.711345285177230835e-02,-1.838268786668777466e-01,-1.427701950073242188e+00,-6.599236130714416504e-01,5.070093274116516113e-01,9.840531945228576660e-01,3.094792962074279785e-01,-3.236576914787292480e-02,-1.337572038173675537e-01
6.058907136321067810e-03,-2.441221848130226135e-02,7.830035090446472168e-01,-8.665843866765499115e-03,-5.440686829388141632e-03,8.103299736976623535e-01,5.858844518661499023e-01,3.279763832688331604e-02,2.573929429054260254e-01,2.491832226514816284e-01,5.169463530182838440e-02,-1.080375909805297852e-01,-9.925255924463272095e-02,1.257072761654853821e-02,-2.813597917556762695e-01,-2.784548103809356689e-01,5.198543146252632141e-02,-2.275105565786361694e-02,2.118799537420272827e-01,-5.317635834217071533e-03,2.121236175298690796e-02,-1.224481686949729919e-02,-8.489687740802764893e-02,4.054777026176452637e-01,-4.204109609127044678e-01,1.089840173721313477e+00,7.008337229490280151e-02,-9.733915328979492188e-02,-1.840222328901290894e-01,-1.427750229835510254e+00,-6.596201658248901367e-01,5.069359540939331055e-01,9.838949441909790039e-01,3.123257756233215332e-01,-3.240168839693069458e-02,-1.320478916168212891e-01
5.959675647318363190e-03,-2.434338815510272980e-02,7.830271124839782715e-01,-8.700885809957981110e-03,-5.436548031866550446e-03,8.101589679718017578e-01,5.861204266548156738e-01,3.296868130564689636e-02,2.574261128902435303e-01,2.495224177837371826e-01,5.199876800179481506e-02,-1.083093583583831787e-01,-9.861841797828674316e-02,1.230012718588113785e-02,-2.812249362468719482e-01,-2.770546376705169678e-01,5.211148783564567566e-02,-2.275080420076847076e-02,2.117029577493667603e-01,-5.241805221885442734e-03,2.103528939187526703e-02,-1.178138051182031631e-02,-8.403681218624114990e-02,4.055252671241760254e-01,-4.196829795837402344e-01,1.088262081146240234e+00,6.712296605110168457e-02,-9.763054549694061279e-02,-1.843448281288146973e-01,-1.427532672882080078e+00,-6.593211293220520020e-01,5.052657127380371094e-01,9.831602573394775391e-01,3.171234428882598877e-01,-3.280644491314888000e-02,-1.307725608348846436e-01
5.880847107619047165e-03,-2.427032031118869781e-02,7.830446958541870117e-01,-8.755482733249664307e-03,-5.426219664514064789e-03,8.100721240043640137e-01,5.862397551536560059e-01,3.314725682139396667e-02,2.574160993099212646e-01,2.496479451656341553e-01,5.192544311285018921e-02,-1.084088310599327087e-01,-9.825944155454635620e-02,1.216660160571336746e-02,-2.810945510864257812e-01,-2.759835422039031982e-01,5.211272835731506348e-02,-2.267838083207607269e-02,2.116378396749496460e-01,-5.216043442487716675e-03,2.075430005788803101e-02,-1.180783379822969437e-02,-8.340103924274444580e-02,4.056747257709503174e-01,-4.191882610321044922e-01,1.087312817573547363e+00,6.411598622798919678e-02,-9.765511006116867065e-02,-1.844753921031951904e-01,-1.427119016647338867e+00,-6.592860817909240723e-01,5.045196413993835449e-01,9.830780625343322754e-01,3.209037780761718750e-01,-3.263480216264724731e-02,-1.292021423578262329e-01
